日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/05,東京都,中学校,お茶の水女子大学附属,帰国,本校,東京都文京区大塚2-1-1,
2026/02/05,東京都,中学校,足立学園,特奨⑤,本校,東京都足立区千住旭町40-24,PM
2026/02/05,東京都,中学校,跡見学園,特待④,本校,東京都文京区大塚1-5-9,
2026/02/05,東京都,中学校,英明フロンティア (2026～女子→共学),６回,本校,東京都練馬区関町北4丁目16-11,
2026/02/05,東京都,中学校,大妻,４回,本校,東京都千代田区三番町12,
2026/02/05,東京都,中学校,神田女学園,６回,本校,東京都千代田区神田猿楽町2-3-6,PM
2026/02/05,東京都,中学校,北豊島,特待③･好きなこと②,本校,東京都荒川区東尾久6-34-24,PM
2026/02/05,東京都,中学校,国本女子,４回,本校,東京都世田谷区喜多見8-15-33,PM
2026/02/05,東京都,中学校,慶應義塾中等部,２次(男子),本校,東京都港区三田2丁目17-10,
2026/02/05,東京都,中学校,慶應義塾中等部,２次(女子),本校,東京都港区三田2丁目17-10,
2026/02/05,東京都,中学校,攻玉社,特別選抜(Ａ方式),本校,東京都品川区西五反田5-14-2,
2026/02/05,東京都,中学校,攻玉社,特別選抜(Ｂ方式),本校,東京都品川区西五反田5-14-2,
2026/02/05,東京都,中学校,佼成学園,２回(特奨),本校,東京都杉並区和田2-6-29,
2026/02/05,東京都,中学校,佼成学園女子,⑤(一般),本校,東京都世田谷区給田2-1-1,
2026/02/05,東京都,中学校,国学院大学久我山,３回,本校,東京都杉並区久我山1-9-1,
2026/02/05,東京都,中学校,国士舘,６回,本校,東京都世田谷区若林4-32-1,
2026/02/05,東京都,中学校,駒沢学園女子,３回,本校,東京都稲城市坂浜238,
2026/02/05,東京都,中学校,サレジアン国際学園,６回,本校,東京都北区赤羽台4-2-14,
2026/02/05,東京都,中学校,サレジアン国際学園世田谷,５回,本校,東京都世田谷区大蔵2-8-1,
2026/02/05,東京都,中学校,品川翔英,７回,本校,東京都品川区西大井1-6-13,
2026/02/05,東京都,中学校,芝国際,2/5午後,本校,東京都港区芝4-1-30,PM
2026/02/05,東京都,中学校,渋谷教育学園渋谷,３回,本校,東京都渋谷区渋谷1-21-18,
2026/02/05,東京都,中学校,修徳,７回,本校,東京都葛飾区青戸8-10-1,PM
2026/02/05,東京都,中学校,十文字,５回,本校,東京都豊島区北大塚1-10-33,PM
