日付,都道府県,学校種,学校名,試験名,試験地,住所,時間
2026/02/01,宮崎県,中学校,宮崎学園,,本校,宮崎県宮崎市昭和町3,
2026/02/01,宮崎県,中学校,日向学院,,本校,宮崎県宮崎市大和町110番地,
2026/02/01,広島県,中学校,広島三育学院,Ⅱ期,本校,広島県三原市大和町下徳良296-2,
2026/02/01,山口県,中学校,宇部フロンティア大学付属,,本校,山口県宇部市文京町1-25,
2026/02/01,鹿児島県,中学校,大口明光学園,,本校,鹿児島県伊佐市大口里1830,
2026/02/01,鹿児島県,中学校,鹿児島大学教育学部附属,,本校,鹿児島県鹿児島市郡元1-20-35,
2026/02/01,鹿児島県,中学校,池田,,本校,鹿児島県鹿児島市西別府町1680番地,
2026/02/01,島根県,中学校,出雲北陵,後期,本校,島根県出雲市西林木町3番地,
2026/02/01,福岡県,中学校,八女学院,,本校,福岡県八女市大字本村425,
2026/02/01,愛媛県,大学,四国大学,一般入試Ⅰ期,宇和島第一ホテル,愛媛県宇和島市中央町1-3-9,
2026/02/01,愛媛県,大学,広島修道大学,一般選抜前期A/B/C,今治地域地場産業振興センター（じばさんセンター）,愛媛県今治市旭町2-3-5,
2026/02/01,愛媛県,大学,広島工業大学,一般選抜A日程,今治会場（今治地域地場産業振興センター）,愛媛県今治市旭町2丁目3-5,
2026/02/01,愛媛県,大学,大阪商業大学,一般入試 前期,ANAクラウンプラザホテル松山,愛媛県松山市一番町3-2-1,
2026/02/01,愛媛県,大学,山陽学園大学,一般Ⅰ期・公募制Ⅰ期,四国ろうきん松山ビル,愛媛県松山市宮田町 132-1,
2026/02/01,愛媛県,大学,関西大学,,えひめ共済会館,愛媛県松山市三番町5丁目13-1,
2026/02/01,愛媛県,大学,四国大学,一般入試Ⅰ期,TKP松山市駅前カンファレンスセンター（青野ビル）,愛媛県松山市千舟町4-3-7 青野ビル,
2026/02/01,愛媛県,大学,福山平成大学,一般選抜 前期A日程,TKP松山市駅前カンファレンスセンター（青野ビル）,愛媛県松山市千舟町4-3-7 青野ビル2・4・5F,
2026/02/01,愛媛県,大学,広島文教大学,一般前期S/A、総合型・推薦前期,TKP松山市駅前カンファレンスセンター,愛媛県松山市千舟町4-3-7 青野ビル2・4-5階,
2026/02/01,愛媛県,大学,比治山大学,一般選抜A日程,松山（アイテムえひめ［愛媛国際貿易センター］）,愛媛県松山市大可賀2丁目1番28号,
2026/02/01,愛媛県,大学,高知リハビリテーション専門職大学,一般選抜A日程,愛媛県県民文化会館 別館（愛媛会場）,愛媛県松山市道後町2-9-14,
2026/02/01,愛媛県,大学,美作大学,一般前期,松山会場（にぎたつ会館）,愛媛県松山市道後姫塚118-2,
2026/02/01,愛媛県,大学,関西学院大学,全学部日程のみ,リジェール松山（JA愛媛）,愛媛県松山市南堀端町2-3,
2026/02/01,愛媛県,大学,九州産業大学,一般前期（共テ併用含む）,リジェール松山（JA愛媛8F）,愛媛県松山市南堀端町2-3 JA愛媛8F,
2026/02/01,愛媛県,大学,就実大学,一般選抜A・B日程,松山会場（二番町ホール）,愛媛県松山市二番町3丁目8-21,
2026/02/01,愛媛県,大学,九州医療科学大学,一般選抜前期,えぴたホール愛媛（愛媛県PTA会館）,愛媛県松山市歩行町1丁目7-4,
2026/02/01,愛媛県,大学,吉備国際大学,一般前期AⅠ/AⅡ/B/C,松山会場（えぴたホール愛媛（愛媛県PTA会館）内）,愛媛県松山市歩行町1丁目7-4,
2026/02/01,愛媛県,大学,広島修道大学,一般選抜前期A/B/C,松山市総合コミュニティセンター 企画展示ホール,愛媛県松山市湊町7-5,
2026/02/01,愛媛県,大学,四国大学,一般入試Ⅰ期,リーガロイヤルホテル新居浜,愛媛県新居浜市前田町6-9,
2026/02/01,岡山県,大学,就実大学,一般選抜A・B日程,本学会場（就実大学キャンパス）,岡山県岡山市中区西川原1-6-1,
2026/02/01,岡山県,大学,山陽学園大学,推薦・一般全日程,本学キャンパス,岡山県岡山市中区平井1丁目14-1,
